name   kyuubiNaruto
health	100
speed 10
running	16	3	2	1    1
type	none
shadow	2









anim	follow3
	delay	7
	offset	48 121
	frame	data/chars/kyuubiNaruto/fillkyuubi/318.gif
	offset	45 116
	frame	data/chars/kyuubiNaruto/fillkyuubi/319.gif
	offset	45 112
	frame	data/chars/kyuubiNaruto/fillkyuubi/320.gif
	offset	43 109
	frame	data/chars/kyuubiNaruto/fillkyuubi/321.gif
	offset	47 112
	frame	data/chars/kyuubiNaruto/fillkyuubi/322.gif
	offset	45 114
	frame	data/chars/kyuubiNaruto/fillkyuubi/323.gif
		
anim	attack1
	delay	7
	offset	32 61
	frame	data/chars/kyuubiNaruto/272.gif
	offset	39 63
	frame	data/chars/kyuubiNaruto/273.gif
	offset	43 63
	frame	data/chars/kyuubiNaruto/274.gif
	offset	56 66
	frame	data/chars/kyuubiNaruto/275.gif
		
anim	attack2
	delay	7
	offset	40 62
	frame	data/chars/kyuubiNaruto/268.gif
	offset	33 60
	frame	data/chars/kyuubiNaruto/269.gif
	offset	41 65
	frame	data/chars/kyuubiNaruto/270.gif
	offset	40 65
	frame	data/chars/kyuubiNaruto/271.gif
		
anim	attack3
	delay	7
	offset	24 47
	frame	data/chars/kyuubiNaruto/258.gif
	offset	34 47
	frame	data/chars/kyuubiNaruto/259.gif
	offset	36 45
	frame	data/chars/kyuubiNaruto/260.gif
	offset	25 61
	frame	data/chars/kyuubiNaruto/261.gif
	offset	43 57
	frame	data/chars/kyuubiNaruto/262.gif
		
anim	attack4
	delay	7
	offset	38 65
	frame	data/chars/kyuubiNaruto/263.gif
	offset	48 62
	frame	data/chars/kyuubiNaruto/264.gif
	offset	42 58
	frame	data/chars/kyuubiNaruto/265.gif
	offset	41 62
	frame	data/chars/kyuubiNaruto/266.gif
	offset	38 58
	frame	data/chars/kyuubiNaruto/267.gif
		
anim	fall
	delay	7
	offset	42 58
	frame	data/chars/kyuubiNaruto/276.gif
	offset	40 62
	frame	data/chars/kyuubiNaruto/277.gif
	offset	15 43
	frame	data/chars/kyuubiNaruto/278.gif
	offset	29 50
	frame	data/chars/kyuubiNaruto/279.gif
	offset	32 38
	frame	data/chars/kyuubiNaruto/280.gif
	offset	34 33
	frame	data/chars/kyuubiNaruto/281.gif
		
anim	follow1
	delay	7
	offset	15 41
	frame	data/chars/kyuubiNaruto/98.gif
	offset	15 32
	frame	data/chars/kyuubiNaruto/99.gif
	offset	16 29
	frame	data/chars/kyuubiNaruto/100.gif
		
anim	follow2
	delay	7
	offset	35 51
	frame	data/chars/kyuubiNaruto/307.gif
	offset	46 47
	frame	data/chars/kyuubiNaruto/308.gif
	offset	37 54
	frame	data/chars/kyuubiNaruto/309.gif
	offset	28 55
	frame	data/chars/kyuubiNaruto/310.gif
	offset	37 60
	frame	data/chars/kyuubiNaruto/305.gif
	offset	28 59
	frame	data/chars/kyuubiNaruto/306.gif
		
anim	follow4
	delay	7
	offset	48 54
	frame	data/chars/kyuubiNaruto/228.gif
	offset	38 59
	frame	data/chars/kyuubiNaruto/229.gif
	offset	32 62
	frame	data/chars/kyuubiNaruto/230.gif
