
name	DB_Boar2
health	35
speed	10
type	enemy
shadow	3
icon	data/chars/dragonball/Boar2/icon.gif


load	knife

subject_to_screen 1

remap	data/chars/dragonball/Boar2/idle02.gif data/chars/dragonball/Boar2/map1.gif
takedamagescript data/scripts/enemyhit.c
animationscript data/scripts/spawns.c



anim	attack1
	range	180 300
	loop	0
	delay	10
	throwframe	2
	bbox	50 56 22 24
	offset	60 85
	frame	data/chars/dragonball/Boar2/shoot00.gif
	sound	data/chars/dragonball/Boar2/shot.wav
	frame	data/chars/dragonball/Boar2/shoot01.gif
	frame	data/chars/dragonball/Boar2/shoot02.gif
		
anim	attack2
	loop	0
	delay	10
	throwframe	2
	bbox	50 56 22 24
	offset	60 85
	frame	data/chars/dragonball/Boar2/shoot00.gif
	sound	data/chars/dragonball/Boar2/shot.wav
	frame	data/chars/dragonball/Boar2/shoot01.gif
	frame	data/chars/dragonball/Boar2/shoot02.gif
		
anim	fall
	bbox	32 30 47 41
	loop	0
	offset	60 85
	delay	20
	attack	41 36 24 22 4 1 0 0 0 0
	frame	data/chars/dragonball/Boar2/fall00.gif
	frame	data/chars/dragonball/Boar2/fall00.gif
	bbox	32 59 54 27
	frame	data/chars/dragonball/Boar2/fall01.gif
		
anim	idle
	loop	1
	delay	15
	offset	60 85
	bbox	50 56 22 24
	frame	data/chars/dragonball/Boar2/idle00.gif
	frame	data/chars/dragonball/Boar2/idle01.gif
	frame	data/chars/dragonball/Boar2/idle02.gif
	frame	data/chars/dragonball/Boar2/idle01.gif
		
anim	pain
	loop	0
	offset	60 85
	bbox	50 56 22 24
	delay	20
	frame	data/chars/dragonball/Boar2/pain.gif
		
anim	rise
	loop	0
	offset	60 85
	delay	5
	frame	data/chars/dragonball/Boar2/rise.gif
		
anim	spawn
	delay	75
	@cmd	spawnparent "e_spawn" 0 0 0
	frame	data/chars/misc/empty.gif
		
anim	walk
	loop	1
	delay	10
	offset	60 85
	bbox	50 56 22 24
	frame	data/chars/dragonball/Boar2/walk00.gif
	frame	data/chars/dragonball/Boar2/walk01.gif
	frame	data/chars/dragonball/Boar2/walk02.gif
	frame	data/chars/dragonball/Boar2/walk03.gif
	frame	data/chars/dragonball/Boar2/walk04.gif
	frame	data/chars/dragonball/Boar2/walk05.gif
		
#|edited by openBor Stats v 0.67
		
