name Sora
health	100
speed 12
type	player










anim	attack1
	delay	7
	offset	16 43
	frame	data/chars/Sora/77.gif
	offset	19 42
	frame	data/chars/Sora/78.gif
	offset	20 35
	frame	data/chars/Sora/79.gif
	offset	28 35
	frame	data/chars/Sora/80.gif
	offset	29 34
	frame	data/chars/Sora/81.gif
	offset	16 51
	frame	data/chars/Sora/82.gif
	offset	15 63
	frame	data/chars/Sora/83.gif
	offset	17 31
	frame	data/chars/Sora/84.gif
	offset	17 29
	frame	data/chars/Sora/85.gif
		
anim	attack2
	delay	7
	offset	8 44
	frame	data/chars/Sora/86.gif
	offset	19 37
	frame	data/chars/Sora/87.gif
	offset	17 39
	frame	data/chars/Sora/88.gif
	offset	22 34
	frame	data/chars/Sora/89.gif
		
anim	attack3
	delay	9
	offset	16 42
	frame	data/chars/Sora/90.gif
	offset	19 31
	frame	data/chars/Sora/91.gif
	offset	17 32
	frame	data/chars/Sora/92.gif
	offset	38 37
	frame	data/chars/Sora/93.gif
	offset	18 37
	frame	data/chars/Sora/94.gif
	offset	18 33
	frame	data/chars/Sora/95.gif
	offset	25 29
	frame	data/chars/Sora/96.gif
	offset	33 28
	frame	data/chars/Sora/97.gif
		
anim	chargeattack
	delay	9
	offset	16 42
	frame	data/chars/Sora/90.gif
	offset	19 31
	frame	data/chars/Sora/91.gif
	offset	17 32
	frame	data/chars/Sora/92.gif
	offset	38 37
	frame	data/chars/Sora/93.gif
	offset	18 37
	frame	data/chars/Sora/94.gif
	offset	18 33
	frame	data/chars/Sora/95.gif
	offset	25 29
	frame	data/chars/Sora/96.gif
	offset	33 28
	frame	data/chars/Sora/97.gif
		
anim	fall
	delay	7
	offset	21 37
	frame	data/chars/Sora/29.gif
	offset	16 43
	frame	data/chars/Sora/30.gif
	offset	30 35
	frame	data/chars/Sora/31.gif
	offset	23 34
	frame	data/chars/Sora/32.gif
	offset	25 30
	frame	data/chars/Sora/35.gif
	offset	29 17
	frame	data/chars/Sora/36.gif
		
anim	freespecial
	delay	10
	offset	30 43
	frame	data/chars/Sora/106.gif
	offset	32 50
	frame	data/chars/Sora/107.gif
	offset	38 50
	frame	data/chars/Sora/108.gif
	offset	30 54
	frame	data/chars/Sora/109.gif
	offset	23 39
	frame	data/chars/Sora/110.gif
	offset	33 39
	frame	data/chars/Sora/111.gif
	offset	20 38
	frame	data/chars/Sora/112.gif
	offset	29 40
	frame	data/chars/Sora/113.gif
	attack	0 0 0 0 0 0 0 0 0 0
	offset	17 38
	frame	data/chars/Sora/114.gif
		
anim	freespecial11
	sound	data/chars/yusuke/broly_5-22.wav
	delay	7
	offset	17 40
	frame	data/chars/Sora/15.gif
	delay	2
	@cmd	dasher 3 0 0
	fshadow	0
	drawmethod	scale 0.3 0.2
	drawmethod	alpha 1
	offset	179 61
	frame	data/chars/yusuke/840.gif
	offset	178 63
	frame	data/chars/yusuke/841.gif
	offset	219 65
	frame	data/chars/yusuke/842.gif
	offset	225 79
	frame	data/chars/yusuke/843.gif
	offset	222 82
	frame	data/chars/yusuke/844.gif
	offset	223 79
	frame	data/chars/yusuke/845.gif
	offset	226 80
	frame	data/chars/yusuke/846.gif
	offset	219 83
	frame	data/chars/yusuke/847.gif
	offset	209 83
	frame	data/chars/yusuke/848.gif
	@cmd	stop
