name Sora-OLD
health	100
speed 12
type	player






anim	0006
	delay	7
	offset	19 40
	frame	data/chars/Sora/12.gif
	offset	21 37
	frame	data/chars/Sora/13.gif
	offset	17 27
	frame	data/chars/Sora/14.gif
		
anim	0011
	delay	7
	offset	0 14
	frame	data/chars/Sora/669.gif
	offset	1 23
	frame	data/chars/Sora/670.gif
	offset	1 48
	frame	data/chars/Sora/671.gif
	offset	1 62
	frame	data/chars/Sora/672.gif
	offset	1 70
	frame	data/chars/Sora/673.gif
	offset	2 75
	frame	data/chars/Sora/674.gif
	offset	2 77
	frame	data/chars/Sora/675.gif
	offset	2 78
	frame	data/chars/Sora/676.gif
	offset	4 86
	frame	data/chars/Sora/677.gif
	offset	14 96
	frame	data/chars/Sora/678.gif
	offset	12 102
	frame	data/chars/Sora/679.gif
	offset	14 108
	frame	data/chars/Sora/680.gif
	offset	13 114
	frame	data/chars/Sora/681.gif
	offset	12 113
	frame	data/chars/Sora/682.gif
	offset	12 115
	frame	data/chars/Sora/683.gif
	offset	13 113
	frame	data/chars/Sora/684.gif
	offset	14 108
	frame	data/chars/Sora/685.gif
	offset	15 121
	frame	data/chars/Sora/686.gif
	offset	15 101
	frame	data/chars/Sora/687.gif
		
anim	0040
	delay	7
	offset	32 48
	frame	data/chars/Sora/22.gif
	offset	12 49
	frame	data/chars/Sora/23.gif
	offset	17 45
	frame	data/chars/Sora/24.gif
		
anim	0161
	delay	7
	offset	24 20
	frame	data/chars/Sora/443.gif
	offset	24 57
	frame	data/chars/Sora/444.gif
	offset	23 96
	frame	data/chars/Sora/445.gif
	offset	23 96
	frame	data/chars/Sora/446.gif
	offset	2 92
	frame	data/chars/Sora/447.gif
	offset	3 88
	frame	data/chars/Sora/448.gif
	offset	-11 87
	frame	data/chars/Sora/449.gif
		
anim	0950
	delay	7
	offset	105 294
	frame	data/chars/Sora/450.gif
	offset	300 290
	frame	data/chars/Sora/451.gif
	offset	300 288
	frame	data/chars/Sora/452.gif
	offset	300 296
	frame	data/chars/Sora/453.gif
	offset	300 325
	frame	data/chars/Sora/454.gif
	offset	300 354
	frame	data/chars/Sora/455.gif
	offset	300 382
	frame	data/chars/Sora/456.gif
	offset	300 400
	frame	data/chars/Sora/457.gif
	offset	300 384
	frame	data/chars/Sora/458.gif
	offset	300 400
	frame	data/chars/Sora/459.gif
	offset	300 400
	frame	data/chars/Sora/460.gif
	offset	293 384
	frame	data/chars/Sora/461.gif
	offset	233 391
	frame	data/chars/Sora/462.gif
	offset	214 399
	frame	data/chars/Sora/463.gif
	offset	208 391
	frame	data/chars/Sora/464.gif
	offset	183 365
	frame	data/chars/Sora/465.gif
	offset	158 341
	frame	data/chars/Sora/466.gif
	offset	151 338
	frame	data/chars/Sora/467.gif
	offset	148 337
	frame	data/chars/Sora/468.gif
	offset	147 338
	frame	data/chars/Sora/469.gif
	offset	146 336
	frame	data/chars/Sora/470.gif
	offset	142 333
	frame	data/chars/Sora/471.gif
	offset	137 332
	frame	data/chars/Sora/472.gif
	offset	136 332
	frame	data/chars/Sora/473.gif
	offset	134 332
	frame	data/chars/Sora/474.gif
	offset	132 331
	frame	data/chars/Sora/475.gif
	offset	125 330
	frame	data/chars/Sora/476.gif
	offset	110 328
	frame	data/chars/Sora/477.gif
	offset	67 323
