name	Ninja_Kunoichi
health	250
speed	7
type	enemy
candamage     npc player
shadow	2
candamage player npc
hostile npc player
icon	data/chars/Ninja_Kunoichi/icon.png
bflash  bflash
dust	 dust
jumpheight 5
atchain	1 2 3
subtype		chase
aggression 	53
running	15	3	2	1
blockodds 1
com  d  f  a  freespecial
load          shuri
load          kunai_enemy
knife         kunai_enemy
star          shuri

subtype		chase

takedamagescript data/scripts/enemyhit.c

anim	attack1
	range	0 50
	loop	0
	delay	7
	offset	19 50
	bbox	14 -2 29 57
	attack1	32 -2 33 57 7
	sound	data/sounds/fattack5.wav
	frame	data/chars/ninja_kunoichi/16.png
	bbox	9 -1 33 58
	frame	data/chars/ninja_kunoichi/17.png
		
anim	attack2
	range	0 50
	loop	0
	delay	7
	offset	19 50
	bbox	14 -2 29 57
	attack1	32 -1 34 58 8
	sound	data/sounds/fattack2.wav
	frame	data/chars/ninja_kunoichi/16.png
	bbox	9 -1 33 58
	frame	data/chars/ninja_kunoichi/17.png
		
anim	attack3
	range	0 50
	loop	0
	jumpframe	0 2 0 0
	offset	15 65
	movez	0
	bbox	6 6 27 63
	delay	7
	sound	data/sounds/fattack50.wav
	frame	data/chars/ninja_kunoichi/11.png
	frame	data/chars/ninja_kunoichi/11.png
	frame	data/chars/ninja_kunoichi/11.png
	frame	data/chars/ninja_kunoichi/11.png
	frame	data/chars/ninja_kunoichi/5.png
	movez	0
	frame	data/chars/ninja_kunoichi/5.png
	frame	data/chars/ninja_kunoichi/7.png
	attack1	17 -2 29 63 15
	bbox	0
	frame	data/chars/ninja_kunoichi/6.png
	attack1	17 -2 29 63 15 1
	frame	data/chars/ninja_kunoichi/6.png
		
anim	block
	loop	0
	delay	30
	offset	16 46
	bbox	4 1 39 46
	frame	data/chars/ninja_kunoichi/21.png
		
anim	burn
	loop	1
	offset	60 116
	delay	3
	sound	data/sounds/fdie1117.wav
	frame	data/chars/misc/burn1.gif
	frame	data/chars/misc/burn2.gif
	frame	data/chars/misc/burn3.gif
		
anim	duck
	loop	0
	delay	10
	bbox	2 18 44 20
	offset	19 35
	frame	data/chars/ninja_kunoichi/15.png
		
anim	fall
	loop	0
	offset	25 40
	delay	30
	attack	1 0 32 51 4 1
	sound	data/sounds/fdie14.wav
	frame	data/chars/ninja_kunoichi/25.png
	offset	25 32
	frame	data/chars/ninja_kunoichi/26.png
	offset	28 38
	frame	data/chars/ninja_kunoichi/27.png
	offset	28 19
	frame	data/chars/ninja_kunoichi/28.png
		
anim	freespecial
	range	0 50
	loop	0
	delay	7
	offset	19 50
	bbox	14 -2 29 57
	attack1	32
	throwframe	
	throwframe	1
	sound	data/sounds/fattack11.wav
	frame	data/chars/ninja_kunoichi/16.png
	bbox	9 -1 33 58
	frame	data/chars/ninja_kunoichi/17.png
		
anim	get
	loop	0
	delay	10
	offset	25 35
	bbox	-2 1 36 42
	frame	data/chars/ninja_kunoichi/15.png
		
anim	grab
	loop	0
	offset	13 73
	delay	1000
	bbox	2 -1 27 81
	frame	data/chars/ninja_kunoichi/5.png
		
anim	grabattack
	range	0 50
	loop	0
	delay	7
	offset	19 50
	bbox	14 -2 29 57
	attack1	31 -1 34 58 12
	sound	data/sounds/fattack37.wav
	frame	data/chars/ninja_kunoichi/16.png
	bbox	9 -1 33 58
	frame	data/chars/ninja_kunoichi/17.png
		
anim	grabattack2
	range	0 50
	loop	0
	delay	7
	offset	19 50
	bbox	14 -2 29 57
	attack1	32 0 33 57 12
	sound	data/sounds/fattack19.wav
	frame	data/chars/ninja_kunoichi/16.png
	bbox	9 -1 33 58
	attack1	32 0 33 57 12 1
	frame	data/chars/ninja_kunoichi/17.png
		
anim	grabbed
	range	0 50
	loop	0
	jumpframe	2 2 0 0
	offset	15 52
	movez	0
	bbox	0 0 0 0
	delay	30
	sound	data/sounds/fhurt10.wav
	frame	data/chars/ninja_kunoichi/23.png
	offset	15 65
	delay	7
	frame	data/chars/ninja_kunoichi/11.png
	frame	data/chars/ninja_kunoichi/11.png
	frame	data/chars/ninja_kunoichi/11.png
	frame	data/chars/ninja_kunoichi/11.png
	frame	data/chars/ninja_kunoichi/5.png
	movez	0
	frame	data/chars/ninja_kunoichi/5.png
	frame	data/chars/ninja_kunoichi/7.png
	attack1	10 0 27 53 25 1 1 1
	bbox	0
	sound	data/sounds/fattack33.wav
	frame	data/chars/ninja_kunoichi/6.png
	attack1	10 0 27 46 25 1 1 1
	frame	data/chars/ninja_kunoichi/6.png
		
anim	idle
	loop	1
	delay	20
	offset	18 48
	bbox	8 2 37 52
	loop	
	loop	1
	frame	data/chars/ninja_kunoichi/0.png
	offset	17 46
	frame	data/chars/ninja_kunoichi/1.png
	frame	data/chars/ninja_kunoichi/2.png
	frame	data/chars/ninja_kunoichi/1.png
	loop	
	loop	1
	offset	18 48
	frame	data/chars/ninja_kunoichi/0.png
	loop	
		
anim	jump
	loop	0
	offset	12 70
	delay	20
	bbox	-1 2 34 56
	frame	data/chars/ninja_kunoichi/11.png
	offset	13 71
	frame	data/chars/ninja_kunoichi/5.png
		
anim	jumpattack
	loop	0
	delay	7
	offset	12 54
	bbox	2 0 27 54
	sound	data/sounds/fattack35.wav
	frame	data/chars/ninja_kunoichi/6.png
	offset	12 52
	Attack1	0
	throwframe	
	throwframe	1
	frame	data/chars/ninja_kunoichi/7.png
		
anim	jumpattack2
	loop	0
	delay	7
	offset	13 54
	bbox	2 0 27 54
	attack1	2 -1 43 63 15
	sound	data/sounds/fattack20.wav
	frame	data/chars/ninja_kunoichi/6.png
	offset	15 52
	Attack1	0
	frame	data/chars/ninja_kunoichi/7.png
		
anim	land
	loop	0
	delay	10
	offset	19 33
	bbox	-2 1 36 42
	frame	data/chars/ninja_kunoichi/15.png
		
anim	pain
	loop	0
	offset	21 52
	delay	30
	bbox	0 0 38 53
	frame	data/chars/ninja_kunoichi/23.png
	frame	data/chars/ninja_kunoichi/24.png
		
anim	rise
	loop	0
	offset	19 33
	delay	10
	sound	data/sounds/fhurt10.wav
	frame	data/chars/ninja_kunoichi/15.png
		
anim	run
	loop	1
	offset	27 33
	delay	7
	bbox	3 -1 41 51
	loop	
	loop	1
	frame	data/chars/ninja_kunoichi/3.png
	frame	data/chars/ninja_kunoichi/4.png
		
anim	runattack
	range	0	80
	loop	0
	offset	19 49
	delay	2
	move	40
	bbox	2 0 43 54
	Attack1	0
	sound	data/sounds/explosion1.wav
	frame	data/chars/ninja_kunoichi/0.png
	offset	17 67
	Attack1	1 0 36 75 60 2
	delay	15
	bbox	0
