name rasenganEnd
speed   15
type 	none
shadow	0
alpha 1

candamage enemy obstacle

















anim	idle
	delay	3
	offset	81 80
	frame	data/chars/Naruto/625.gif
	offset	88 87
	frame	data/chars/Naruto/626.gif
	offset	117 97
	frame	data/chars/Naruto/627.gif
	offset	99 94
	frame	data/chars/Naruto/628.gif
	offset	81 97
	frame	data/chars/Naruto/629.gif
	offset	75 97
	frame	data/chars/Naruto/630.gif
	offset	76 93
	frame	data/chars/Naruto/631.gif
	offset	76 93
	frame	data/chars/Naruto/632.gif
	offset	78 92
	frame	data/chars/Naruto/633.gif
	offset	78 89
	frame	data/chars/Naruto/634.gif
	offset	81 81
	frame	data/chars/Naruto/635.gif
	offset	84 79
	frame	data/chars/Naruto/636.gif
	offset	86 75
	frame	data/chars/Naruto/637.gif
	offset	85 73
	frame	data/chars/Naruto/638.gif
	offset	86 73
	frame	data/chars/Naruto/639.gif
	offset	86 76
	frame	data/chars/Naruto/640.gif
	offset	85 78
	frame	data/chars/Naruto/641.gif
	offset	85 80
	frame	data/chars/Naruto/642.gif
	offset	85 81
	frame	data/chars/Naruto/643.gif
	offset	84 82
	frame	data/chars/Naruto/644.gif
	offset	83 75
	frame	data/chars/Naruto/645.gif
	offset	80 72
	frame	data/chars/Naruto/646.gif
	offset	73 72
	frame	data/chars/Naruto/647.gif
	offset	12 56
	frame	data/chars/Naruto/648.gif
	offset	12 56
	frame	data/chars/Naruto/649.gif
	frame	data/chars/misc/empty.gif
	@cmd	killentity getlocalvar("self")
	frame	data/chars/misc/empty.gif
		
#|edited by openBor Stats v 0.67
		
