name	yusukeFire
speed   15
type 	none
shadow	0
setlayer 1000
alpha 1


















anim	idle
	drawmethod	scale 0.5
	delay	3
	offset	109 -172
	frame	data/chars/yusuke/1324.gif
	offset	105 -109
	frame	data/chars/yusuke/1325.gif
	offset	130 -102
	frame	data/chars/yusuke/1326.gif
	offset	113 -66
	frame	data/chars/yusuke/1327.gif
	offset	96 22
	frame	data/chars/yusuke/1328.gif
	offset	96 153
	frame	data/chars/yusuke/1329.gif
	offset	77 246
	frame	data/chars/yusuke/1330.gif
	offset	74 286
	frame	data/chars/yusuke/1331.gif
	offset	67 282
	frame	data/chars/yusuke/1332.gif
	offset	67 286
	frame	data/chars/yusuke/1333.gif
	offset	68 287
	frame	data/chars/yusuke/1334.gif
	offset	63 285
	frame	data/chars/yusuke/1335.gif
	offset	62 290
	frame	data/chars/yusuke/1336.gif
	offset	81 290
	frame	data/chars/yusuke/1337.gif
	offset	76 287
	frame	data/chars/yusuke/1338.gif
	offset	70 290
	frame	data/chars/yusuke/1339.gif
	offset	76 290
	frame	data/chars/yusuke/1340.gif
	offset	81 290
	frame	data/chars/yusuke/1341.gif
	offset	76 288
	frame	data/chars/yusuke/1342.gif
	offset	70 288
	frame	data/chars/yusuke/1343.gif
	offset	76 288
	frame	data/chars/yusuke/1344.gif
	offset	81 288
	frame	data/chars/yusuke/1345.gif
	offset	76 285
	frame	data/chars/yusuke/1346.gif
	offset	70 301
	frame	data/chars/yusuke/1347.gif
	offset	81 289
	frame	data/chars/yusuke/1348.gif
	offset	81 289
	frame	data/chars/yusuke/1349.gif
	offset	77 288
	frame	data/chars/yusuke/1350.gif
	offset	70 285
	frame	data/chars/yusuke/1351.gif
	offset	75 282
	frame	data/chars/yusuke/1352.gif
	offset	81 290
	frame	data/chars/yusuke/1353.gif
	offset	76 290
	frame	data/chars/yusuke/1354.gif
	offset	108 289
	frame	data/chars/yusuke/1355.gif
	offset	102 283
	frame	data/chars/yusuke/1356.gif
	offset	98 261
	frame	data/chars/yusuke/1357.gif
	offset	97 274
	frame	data/chars/yusuke/1358.gif
	offset	98 274
	frame	data/chars/yusuke/1359.gif
	offset	98 269
	frame	data/chars/yusuke/1360.gif
	offset	97 272
	frame	data/chars/yusuke/1361.gif
	offset	97 272
	frame	data/chars/yusuke/1362.gif
	offset	98 272
	frame	data/chars/yusuke/1363.gif
	offset	98 268
	frame	data/chars/yusuke/1364.gif
	offset	97 267
	frame	data/chars/yusuke/1365.gif
	offset	97 276
	frame	data/chars/yusuke/1366.gif
	offset	97 281
	frame	data/chars/yusuke/1367.gif
	offset	97 277
	frame	data/chars/yusuke/1368.gif
	offset	95 281
	frame	data/chars/yusuke/1369.gif
	offset	96 277
	frame	data/chars/yusuke/1370.gif
	offset	94 283
	frame	data/chars/yusuke/1371.gif
	offset	95 284
	frame	data/chars/yusuke/1372.gif
	offset	96 285
	frame	data/chars/yusuke/1373.gif
	offset	95 286
	frame	data/chars/yusuke/1374.gif
	offset	99 287
	frame	data/chars/yusuke/1375.gif
	offset	102 286
	frame	data/chars/yusuke/1376.gif
	offset	101 283
	frame	data/chars/yusuke/1377.gif
	offset	105 283
	frame	data/chars/yusuke/1378.gif
	offset	104 287
	frame	data/chars/yusuke/1379.gif
	offset	99 287
	frame	data/chars/yusuke/1380.gif
	offset	102 286
	frame	data/chars/yusuke/1381.gif
	offset	102 286
	frame	data/chars/yusuke/1382.gif
	offset	102 263
	frame	data/chars/yusuke/1383.gif
	offset	104 279
	frame	data/chars/yusuke/1384.gif
	offset	89 278
	frame	data/chars/yusuke/1385.gif
	offset	89 277
	frame	data/chars/yusuke/1386.gif
	offset	89 275
	frame	data/chars/yusuke/1387.gif
	offset	98 259
	frame	data/chars/yusuke/1388.gif
	offset	89 258
	frame	data/chars/yusuke/1389.gif
	offset	89 255
	frame	data/chars/yusuke/1390.gif
	offset	81 266
	frame	data/chars/yusuke/1391.gif
	offset	81 267
	frame	data/chars/yusuke/1392.gif
	offset	69 245
	frame	data/chars/yusuke/1393.gif
	offset	62 244
	frame	data/chars/yusuke/1394.gif
	offset	70 159
	frame	data/chars/yusuke/1395.gif
	offset	70 138
	frame	data/chars/yusuke/1396.gif
	offset	51 83
	frame	data/chars/yusuke/1397.gif
	offset	38 95
	frame	data/chars/yusuke/1398.gif
	offset	38 -58
	frame	data/chars/yusuke/1399.gif
	frame	data/chars/misc/empty.gif
	@cmd	killentity getlocalvar("self")
	frame	data/chars/misc/empty.gif
		
#|edited by openBor Stats v 0.67
		
