name	Shrieker
health	60
speed	17
type	enemy
shadow  3
cantgrab 1
subject_to_screen 1

takedamagescript data/scripts/enemyhit.c
animationscript data/scripts/spawns.c



anim	fall
	bbox	15 87 92 29
	loop	0
	offset	60 116
	attack	43 65 26 33 4 1 0 0 0 0
	frame	data/chars/Shriek/Fall1.gif
		
anim	idle
	loop	1
	delay	15
	offset	60 116
	bbox	40 66 20 50
	frame	data/chars/Shriek/Idle1.gif
	frame	data/chars/Shriek/Idle2.gif
	frame	data/chars/Shriek/Idle3.gif
	frame	data/chars/Shriek/Idle2.gif
		
anim	jumpattack
	loop	0
	delay	15
	offset	60 90
	bbox	40 66 20 50
	frame	data/chars/Shriek/Jump1.gif
	attack	19 35 78 55 15 1
	frame	data/chars/Shriek/Att1.gif
		
anim	land
	loop	0
	offset	60 116
	delay	10
	frame	data/chars/Shriek/Idle1.gif
		
anim	pain
	loop	0
	offset	60 116
	delay	30
	bbox	40 66 20 50
	frame	data/chars/Shriek/Hurt1.gif
		
anim	rise
	loop	0
	offset	60 116
	delay	10
	frame	data/chars/Shriek/Idle1.gif
		
anim	spawn
	delay	75
	@cmd	spawnparent "e_spawn" 0 0 0
	frame	data/chars/misc/empty.gif
		
anim	walk
	loop	1
	delay	7
	offset	60 116
	bbox	40 66 20 50
	frame	data/chars/Shriek/walk1.gif
	frame	data/chars/Shriek/walk2.gif
	frame	data/chars/Shriek/walk3.gif
	frame	data/chars/Shriek/walk4.gif
		
#|edited by openBor Stats v 0.67
		
